DATE,UNRATE
2014-08-07,6.061290322580645
2014-08-08,6.054838709677419
2014-08-09,6.048387096774193
2014-08-10,6.041935483870968
2014-08-11,6.035483870967742
2014-08-12,6.029032258064516
2014-08-13,6.02258064516129
2014-08-14,6.016129032258064
2014-08-15,6.009677419354839
2014-08-16,6.003225806451613
2014-08-17,5.996774193548387
2014-08-18,5.990322580645161
2014-08-19,5.983870967741936
2014-08-20,5.97741935483871
2014-08-21,5.970967741935484
2014-08-22,5.964516129032258
2014-08-23,5.958064516129032
2014-08-24,5.951612903225807
2014-08-25,5.945161290322581
2014-08-26,5.938709677419355
2014-08-27,5.932258064516129
2014-08-28,5.925806451612903
2014-08-29,5.919354838709678
2014-08-30,5.912903225806452
2014-08-31,5.9064516129032265
2014-09-01,5.9
2014-09-02,5.8933333333333335
2014-09-03,5.886666666666667
2014-09-04,5.880000000000001
2014-09-05,5.873333333333334
2014-09-06,5.866666666666667
2014-09-07,5.86
2014-09-08,5.8533333333333335
2014-09-09,5.846666666666667
2014-09-10,5.84
2014-09-11,5.833333333333334
2014-09-12,5.826666666666667
2014-09-13,5.82
2014-09-14,5.8133333333333335
2014-09-15,5.806666666666667
2014-09-16,5.800000000000001
2014-09-17,5.793333333333334
2014-09-18,5.786666666666667
2014-09-19,5.78
2014-09-20,5.773333333333333
2014-09-21,5.766666666666667
2014-09-22,5.76
2014-09-23,5.753333333333334
2014-09-24,5.746666666666667
2014-09-25,5.74
2014-09-26,5.733333333333333
2014-09-27,5.726666666666667
2014-09-28,5.720000000000001
2014-09-29,5.713333333333334
2014-09-30,5.706666666666667
2014-10-01,5.7
2014-10-02,5.703225806451613
2014-10-03,5.706451612903226
2014-10-04,5.709677419354839
2014-10-05,5.712903225806452
2014-10-06,5.716129032258064
2014-10-07,5.719354838709678
2014-10-08,5.72258064516129
2014-10-09,5.725806451612903
2014-10-10,5.7290322580645165
2014-10-11,5.732258064516129
2014-10-12,5.735483870967742
2014-10-13,5.7387096774193544
2014-10-14,5.741935483870968
2014-10-15,5.745161290322581
2014-10-16,5.748387096774193
2014-10-17,5.751612903225807
2014-10-18,5.754838709677419
2014-10-19,5.758064516129032
2014-10-20,5.7612903225806456
2014-10-21,5.764516129032258
2014-10-22,5.767741935483871
