Date,MSPUS
2015-08-28,300023.9130434783
2015-08-29,300096.73913043475
2015-08-30,300169.5652173913
2015-08-31,300242.39130434784
2015-09-01,300315.2173913043
2015-09-02,300388.04347826086
2015-09-03,300460.8695652174
2015-09-04,300533.6956521739
2015-09-05,300606.52173913043
2015-09-06,300679.347826087
2015-09-07,300752.17391304346
2015-09-08,300825.0
2015-09-09,300897.82608695654
2015-09-10,300970.652173913
2015-09-11,301043.47826086957
2015-09-12,301116.3043478261
2015-09-13,301189.1304347826
2015-09-14,301261.95652173914
2015-09-15,301334.7826086957
2015-09-16,301407.60869565216
2015-09-17,301480.4347826087
2015-09-18,301553.26086956525
2015-09-19,301626.0869565217
2015-09-20,301698.9130434783
2015-09-21,301771.73913043475
2015-09-22,301844.5652173913
2015-09-23,301917.39130434784
2015-09-24,301990.2173913043
2015-09-25,302063.04347826086
2015-09-26,302135.8695652174
2015-09-27,302208.6956521739
2015-09-28,302281.52173913043
2015-09-29,302354.347826087
2015-09-30,302427.17391304346
2015-10-01,302500.0
2015-10-02,302470.652173913
2015-10-03,302441.3043478261
2015-10-04,302411.95652173914
2015-10-05,302382.60869565216
2015-10-06,302353.26086956525
2015-10-07,302323.9130434783
2015-10-08,302294.5652173913
2015-10-09,302265.2173913043
2015-10-10,302235.8695652174
2015-10-11,302206.52173913043
2015-10-12,302177.17391304346
2015-10-13,302147.82608695654
2015-10-14,302118.47826086957
2015-10-15,302089.1304347826
2015-10-16,302059.7826086957
2015-10-17,302030.4347826087
2015-10-18,302001.0869565217
2015-10-19,301971.73913043475
2015-10-20,301942.39130434784
2015-10-21,301913.04347826086
2015-10-22,301883.6956521739
2015-10-23,301854.347826087
2015-10-24,301825.0
2015-10-25,301795.652173913
2015-10-26,301766.3043478261
2015-10-27,301736.95652173914
2015-10-28,301707.60869565216
2015-10-29,301678.26086956525
2015-10-30,301648.9130434783
2015-10-31,301619.5652173913
2015-11-01,301590.2173913043
2015-11-02,301560.8695652174
2015-11-03,301531.52173913043
2015-11-04,301502.17391304346
2015-11-05,301472.82608695654
2015-11-06,301443.47826086957
2015-11-07,301414.1304347826
2015-11-08,301384.7826086957
2015-11-09,301355.4347826087
2015-11-10,301326.0869565217
2015-11-11,301296.73913043475
2015-11-12,301267.39130434784
2015-11-13,301238.04347826086
2015-11-14,301208.6956521739
2015-11-15,301179.347826087
2015-11-16,301150.0
2015-11-17,301120.652173913
2015-11-18,301091.3043478261
2015-11-19,301061.95652173914
2015-11-20,301032.60869565216
2015-11-21,301003.26086956525
2015-11-22,300973.9130434783
2015-11-23,300944.5652173913
2015-11-24,300915.2173913043
2015-11-25,300885.8695652174
2015-11-26,300856.52173913043
2015-11-27,300827.17391304346
2015-11-28,300797.82608695654
2015-11-29,300768.47826086957
2015-11-30,300739.1304347826
2015-12-01,300709.7826086957
2015-12-02,300680.4347826087
2015-12-03,300651.0869565217
2015-12-04,300621.73913043475
2015-12-05,300592.39130434784
2015-12-06,300563.04347826086
2015-12-07,300533.6956521739
2015-12-08,300504.347826087
2015-12-09,300475.0
2015-12-10,300445.652173913
2015-12-11,300416.3043478261
2015-12-12,300386.95652173914
2015-12-13,300357.60869565216
2015-12-14,300328.26086956525
2015-12-15,300298.9130434783
2015-12-16,300269.5652173913
2015-12-17,300240.2173913043
2015-12-18,300210.8695652174
2015-12-19,300181.52173913043
2015-12-20,300152.17391304346
2015-12-21,300122.82608695654
2015-12-22,300093.47826086957
2015-12-23,300064.1304347826
2015-12-24,300034.7826086957
2015-12-25,300005.4347826087
2015-12-26,299976.0869565217
2015-12-27,299946.73913043475
2015-12-28,299917.39130434784
2015-12-29,299888.04347826086
2015-12-30,299858.6956521739
2015-12-31,299829.347826087
2016-01-01,299800.0
2016-01-02,299868.13186813187
2016-01-03,299936.26373626373
2016-01-04,300004.3956043956
2016-01-05,300072.52747252746
2016-01-06,300140.65934065933
2016-01-07,300208.7912087912
2016-01-08,300276.92307692306
2016-01-09,300345.05494505493
2016-01-10,300413.1868131868
2016-01-11,300481.31868131866
2016-01-12,300549.4505494505
2016-01-13,300617.5824175824
2016-01-14,300685.71428571426
2016-01-15,300753.8461538461
2016-01-16,300821.978021978
2016-01-17,300890.1098901099
2016-01-18,300958.2417582418
2016-01-19,301026.37362637365
2016-01-20,301094.5054945055
2016-01-21,301162.6373626374
2016-01-22,301230.76923076925
2016-01-23,301298.9010989011
2016-01-24,301367.032967033
2016-01-25,301435.16483516485
2016-01-26,301503.2967032967
2016-01-27,301571.4285714286
2016-01-28,301639.56043956045
2016-01-29,301707.6923076923
2016-01-30,301775.8241758242
2016-01-31,301843.95604395604
2016-02-01,301912.0879120879
2016-02-02,301980.2197802198
2016-02-03,302048.35164835164
2016-02-04,302116.4835164835
2016-02-05,302184.6153846154
2016-02-06,302252.74725274724
2016-02-07,302320.8791208791
2016-02-08,302389.010989011
2016-02-09,302457.14285714284
2016-02-10,302525.2747252747
2016-02-11,302593.4065934066
2016-02-12,302661.53846153844
2016-02-13,302729.6703296703
2016-02-14,302797.8021978022
2016-02-15,302865.93406593404
2016-02-16,302934.06593406596
2016-02-17,303002.1978021978
2016-02-18,303070.3296703297
2016-02-19,303138.46153846156
2016-02-20,303206.5934065934
2016-02-21,303274.7252747253
2016-02-22,303342.85714285716
2016-02-23,303410.989010989
2016-02-24,303479.1208791209
2016-02-25,303547.25274725276
2016-02-26,303615.3846153846
2016-02-27,303683.5164835165
2016-02-28,303751.64835164836
2016-02-29,303819.7802197802
2016-03-01,303887.9120879121
2016-03-02,303956.04395604396
2016-03-03,304024.1758241758
2016-03-04,304092.3076923077
2016-03-05,304160.43956043955
2016-03-06,304228.5714285714
2016-03-07,304296.7032967033
2016-03-08,304364.83516483515
2016-03-09,304432.967032967
2016-03-10,304501.0989010989
2016-03-11,304569.23076923075
2016-03-12,304637.3626373626
2016-03-13,304705.4945054945
2016-03-14,304773.62637362635
2016-03-15,304841.7582417582
2016-03-16,304909.8901098901
2016-03-17,304978.02197802195
2016-03-18,305046.1538461539
2016-03-19,305114.28571428574
2016-03-20,305182.4175824176
2016-03-21,305250.5494505495
2016-03-22,305318.68131868134
2016-03-23,305386.8131868132
2016-03-24,305454.94505494507
2016-03-25,305523.07692307694
2016-03-26,305591.2087912088
2016-03-27,305659.34065934067
2016-03-28,305727.47252747254
2016-03-29,305795.6043956044
2016-03-30,305863.73626373627
2016-03-31,305931.86813186813
2016-04-01,306000.0
2016-04-02,305975.8241758242
2016-04-03,305951.64835164836
2016-04-04,305927.47252747254
2016-04-05,305903.2967032967
2016-04-06,305879.1208791209
2016-04-07,305854.94505494507
2016-04-08,305830.76923076925
2016-04-09,305806.5934065934
2016-04-10,305782.4175824176
2016-04-11,305758.2417582418
2016-04-12,305734.06593406596
2016-04-13,305709.8901098901
2016-04-14,305685.71428571426
2016-04-15,305661.53846153844
2016-04-16,305637.3626373626
2016-04-17,305613.1868131868
2016-04-18,305589.010989011
2016-04-19,305564.83516483515
2016-04-20,305540.65934065933
2016-04-21,305516.4835164835
2016-04-22,305492.3076923077
2016-04-23,305468.13186813187
2016-04-24,305443.95604395604
2016-04-25,305419.7802197802
2016-04-26,305395.6043956044
2016-04-27,305371.4285714286
2016-04-28,305347.25274725276
2016-04-29,305323.07692307694
2016-04-30,305298.9010989011
2016-05-01,305274.7252747253
2016-05-02,305250.5494505495
2016-05-03,305226.37362637365
2016-05-04,305202.1978021978
2016-05-05,305178.021978022
2016-05-06,305153.8461538461
2016-05-07,305129.6703296703
2016-05-08,305105.4945054945
2016-05-09,305081.31868131866
2016-05-10,305057.14285714284
2016-05-11,305032.967032967
2016-05-12,305008.7912087912
2016-05-13,304984.6153846154
2016-05-14,304960.43956043955
2016-05-15,304936.26373626373
2016-05-16,304912.0879120879
2016-05-17,304887.9120879121
2016-05-18,304863.73626373627
2016-05-19,304839.56043956045
2016-05-20,304815.3846153846
2016-05-21,304791.2087912088
2016-05-22,304767.032967033
2016-05-23,304742.85714285716
2016-05-24,304718.68131868134
2016-05-25,304694.5054945055
2016-05-26,304670.3296703297
2016-05-27,304646.1538461539
2016-05-28,304621.978021978
2016-05-29,304597.8021978022
2016-05-30,304573.62637362635
2016-05-31,304549.4505494505
2016-06-01,304525.2747252747
2016-06-02,304501.0989010989
2016-06-03,304476.92307692306
2016-06-04,304452.74725274724
2016-06-05,304428.5714285714
2016-06-06,304404.3956043956
2016-06-07,304380.2197802198
2016-06-08,304356.04395604396
2016-06-09,304331.86813186813
2016-06-10,304307.6923076923
2016-06-11,304283.5164835165
2016-06-12,304259.34065934067
2016-06-13,304235.16483516485
2016-06-14,304210.989010989
2016-06-15,304186.8131868132
2016-06-16,304162.6373626374
2016-06-17,304138.46153846156
2016-06-18,304114.28571428574
2016-06-19,304090.1098901099
2016-06-20,304065.93406593404
2016-06-21,304041.7582417582
2016-06-22,304017.5824175824
2016-06-23,303993.4065934066
