Date,Technical Analysis
2015-04-08,37.44
2015-04-09,28.6
2015-04-10,24.44
2015-04-11,12.48
2015-04-12,18.72
2015-04-13,33.28
2015-04-14,45.760000000000005
2015-04-15,23.400000000000002
2015-04-16,52.0
2015-04-17,24.44
2015-04-18,24.96
2015-04-19,12.48
2015-04-20,14.040000000000001
2015-04-21,14.040000000000001
2015-04-22,18.72
2015-04-23,28.6
2015-04-24,19.76
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,18.72
2015-04-28,23.400000000000002
2015-04-29,42.64
2015-04-30,23.92
2015-05-01,26.01
2015-05-02,21.93
2015-05-03,43.35
2015-05-04,0.0
2015-05-05,32.64
2015-05-06,16.830000000000002
2015-05-07,51.0
2015-05-08,17.34
2015-05-09,22.44
2015-05-10,11.22
2015-05-11,42.84
2015-05-12,8.16
2015-05-13,24.990000000000002
2015-05-14,26.01
2015-05-15,8.67
2015-05-16,11.22
2015-05-17,11.22
2015-05-18,8.67
2015-05-19,16.830000000000002
2015-05-20,25.5
2015-05-21,26.01
2015-05-22,27.54
2015-05-23,35.19
2015-05-24,35.7
2015-05-25,0.0
2015-05-26,17.34
2015-05-27,16.830000000000002
2015-05-28,26.01
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,22.44
2015-06-01,48.5
2015-06-02,26.5
2015-06-03,22.5
2015-06-04,36.5
2015-06-05,24.0
2015-06-06,35.0
2015-06-07,42.0
2015-06-08,9.0
2015-06-09,18.0
2015-06-10,9.0
2015-06-11,28.0
2015-06-12,28.5
2015-06-13,24.0
2015-06-14,12.0
2015-06-15,50.0
2015-06-16,27.0
2015-06-17,36.0
2015-06-18,14.0
2015-06-19,14.5
2015-06-20,23.0
2015-06-21,24.0
2015-06-22,27.5
2015-06-23,27.0
2015-06-24,27.5
2015-06-25,32.5
2015-06-26,14.5
2015-06-27,11.5
2015-06-28,12.0
2015-06-29,18.5
2015-06-30,27.5
2015-07-01,31.11
2015-07-02,32.64
2015-07-03,12.75
2015-07-04,14.280000000000001
2015-07-05,14.790000000000001
2015-07-06,20.91
2015-07-07,10.2
2015-07-08,10.2
2015-07-09,20.91
2015-07-10,43.35
2015-07-11,40.29
2015-07-12,13.26
2015-07-13,20.4
2015-07-14,51.0
2015-07-15,30.6
2015-07-16,42.33
2015-07-17,10.71
2015-07-18,13.77
2015-07-19,28.560000000000002
2015-07-20,21.42
2015-07-21,31.11
2015-07-22,0.0
2015-07-23,31.62
2015-07-24,10.71
2015-07-25,26.52
2015-07-26,0.0
2015-07-27,20.4
2015-07-28,40.8
2015-07-29,0.0
2015-07-30,10.2
2015-07-31,43.35
2015-08-01,0.0
2015-08-02,16.64
2015-08-03,26.240000000000002
2015-08-04,12.8
2015-08-05,13.44
2015-08-06,39.04
2015-08-07,13.44
2015-08-08,0.0
2015-08-09,16.64
2015-08-10,0.0
2015-08-11,12.8
2015-08-12,12.8
2015-08-13,26.240000000000002
2015-08-14,13.44
2015-08-15,0.0
2015-08-16,33.28
2015-08-17,25.6
2015-08-18,25.6
2015-08-19,64.0
2015-08-20,0.0
2015-08-21,26.240000000000002
2015-08-22,16.0
2015-08-23,16.0
2015-08-24,37.76
2015-08-25,12.16
2015-08-26,49.28
2015-08-27,49.92
2015-08-28,12.8
2015-08-29,16.0
2015-08-30,63.36
