Date,ASPUS
2014-03-03,337635.55555555556
2014-03-04,337737.77777777775
2014-03-05,337840.0
2014-03-06,337942.22222222225
2014-03-07,338044.44444444444
2014-03-08,338146.6666666667
2014-03-09,338248.8888888889
2014-03-10,338351.1111111111
2014-03-11,338453.3333333333
2014-03-12,338555.55555555556
2014-03-13,338657.77777777775
2014-03-14,338760.0
2014-03-15,338862.22222222225
2014-03-16,338964.44444444444
2014-03-17,339066.6666666667
2014-03-18,339168.8888888889
2014-03-19,339271.1111111111
2014-03-20,339373.3333333333
2014-03-21,339475.55555555556
2014-03-22,339577.77777777775
2014-03-23,339680.0
2014-03-24,339782.22222222225
2014-03-25,339884.44444444444
2014-03-26,339986.6666666667
2014-03-27,340088.8888888889
2014-03-28,340191.1111111111
2014-03-29,340293.3333333333
2014-03-30,340395.55555555556
2014-03-31,340497.77777777775
2014-04-01,340600.0
2014-04-02,340597.8021978022
2014-04-03,340595.6043956044
2014-04-04,340593.4065934066
2014-04-05,340591.2087912088
2014-04-06,340589.010989011
2014-04-07,340586.8131868132
2014-04-08,340584.6153846154
2014-04-09,340582.4175824176
2014-04-10,340580.2197802198
2014-04-11,340578.021978022
2014-04-12,340575.8241758242
2014-04-13,340573.62637362635
2014-04-14,340571.4285714286
2014-04-15,340569.23076923075
2014-04-16,340567.032967033
2014-04-17,340564.83516483515
2014-04-18,340562.6373626374
2014-04-19,340560.43956043955
2014-04-20,340558.2417582418
2014-04-21,340556.04395604396
2014-04-22,340553.8461538461
2014-04-23,340551.64835164836
2014-04-24,340549.4505494505
2014-04-25,340547.25274725276
2014-04-26,340545.05494505493
2014-04-27,340542.85714285716
2014-04-28,340540.65934065933
2014-04-29,340538.46153846156
2014-04-30,340536.26373626373
2014-05-01,340534.06593406596
2014-05-02,340531.86813186813
2014-05-03,340529.6703296703
2014-05-04,340527.47252747254
2014-05-05,340525.2747252747
2014-05-06,340523.07692307694
2014-05-07,340520.8791208791
2014-05-08,340518.68131868134
