Date,Hotel
2014-10-29,58.290000000000006
2014-10-30,58.290000000000006
2014-10-31,56.28
2014-11-01,57.339999999999996
2014-11-02,53.07
2014-11-03,59.17
2014-11-04,59.78
2014-11-05,56.73
2014-11-06,58.56
2014-11-07,58.56
2014-11-08,61.0
2014-11-09,57.339999999999996
2014-11-10,57.949999999999996
2014-11-11,56.73
2014-11-12,57.339999999999996
2014-11-13,56.12
2014-11-14,57.949999999999996
2014-11-15,56.73
2014-11-16,52.46
2014-11-17,54.9
2014-11-18,54.9
2014-11-19,56.73
2014-11-20,55.51
2014-11-21,53.68
2014-11-22,55.51
2014-11-23,51.24
2014-11-24,53.07
2014-11-25,50.629999999999995
2014-11-26,49.41
2014-11-27,45.75
2014-11-28,47.58
2014-11-29,50.019999999999996
2014-11-30,50.019999999999996
2014-12-01,43.4
2014-12-02,44.02
2014-12-03,45.88
2014-12-04,43.4
2014-12-05,46.5
2014-12-06,43.4
2014-12-07,42.78
2014-12-08,46.5
2014-12-09,44.64
2014-12-10,44.64
2014-12-11,42.78
2014-12-12,45.26
2014-12-13,44.64
2014-12-14,42.78
2014-12-15,44.64
2014-12-16,43.4
2014-12-17,43.4
2014-12-18,44.02
2014-12-19,44.64
2014-12-20,46.5
2014-12-21,41.54
2014-12-22,45.26
2014-12-23,44.64
2014-12-24,40.3
2014-12-25,39.68
2014-12-26,50.22
2014-12-27,53.94
2014-12-28,55.8
2014-12-29,57.04
2014-12-30,58.28
2014-12-31,62.0
2015-01-01,64.97
2015-01-02,64.24
2015-01-03,62.78
2015-01-04,59.129999999999995
2015-01-05,63.51
2015-01-06,62.78
2015-01-07,62.78
2015-01-08,62.78
2015-01-09,62.78
2015-01-10,64.24
2015-01-11,61.32
2015-01-12,67.89
2015-01-13,67.16
2015-01-14,69.35
2015-01-15,72.27
2015-01-16,73.0
2015-01-17,70.81
2015-01-18,64.97
2015-01-19,67.89
2015-01-20,67.89
2015-01-21,66.42999999999999
2015-01-22,66.42999999999999
2015-01-23,66.42999999999999
2015-01-24,64.24
2015-01-25,66.42999999999999
2015-01-26,62.05
2015-01-27,63.51
2015-01-28,64.24
2015-01-29,62.78
2015-01-30,60.589999999999996
2015-01-31,61.32
2015-02-01,53.9
2015-02-02,53.9
2015-02-03,60.06
2015-02-04,60.83
2015-02-05,60.83
2015-02-06,63.14
2015-02-07,62.370000000000005
2015-02-08,60.83
2015-02-09,62.370000000000005
2015-02-10,65.45
2015-02-11,66.22
2015-02-12,64.68
2015-02-13,68.53
2015-02-14,71.61
2015-02-15,67.76
2015-02-16,60.83
2015-02-17,60.83
2015-02-18,57.75
2015-02-19,63.910000000000004
2015-02-20,64.68
2015-02-21,66.99
2015-02-22,65.45
2015-02-23,77.0
2015-02-24,63.910000000000004
2015-02-25,66.99
2015-02-26,67.76
2015-02-27,65.45
2015-02-28,68.53
2015-03-01,73.71000000000001
2015-03-02,69.66000000000001
2015-03-03,68.04
2015-03-04,70.47
2015-03-05,70.47
2015-03-06,74.52000000000001
2015-03-07,77.76
2015-03-08,72.9
2015-03-09,72.09
2015-03-10,69.66000000000001
2015-03-11,69.66000000000001
2015-03-12,73.71000000000001
2015-03-13,77.76
2015-03-14,81.0
2015-03-15,74.52000000000001
2015-03-16,71.28
2015-03-17,70.47
2015-03-18,70.47
2015-03-19,70.47
2015-03-20,69.66000000000001
2015-03-21,76.14
2015-03-22,72.9
2015-03-23,71.28
2015-03-24,72.09
2015-03-25,63.18000000000001
2015-03-26,65.61
2015-03-27,71.28
2015-03-28,68.85000000000001
2015-03-29,70.47
2015-03-30,68.04
2015-03-31,68.85000000000001
2015-04-01,68.82
2015-04-02,71.03999999999999
2015-04-03,71.03999999999999
2015-04-04,68.82
2015-04-05,65.12
2015-04-06,69.56
2015-04-07,72.52
2015-04-08,74.0
2015-04-09,71.03999999999999
2015-04-10,74.0
2015-04-11,72.52
2015-04-12,68.82
2015-04-13,70.3
2015-04-14,69.56
2015-04-15,70.3
2015-04-16,71.03999999999999
2015-04-17,70.3
2015-04-18,71.78
2015-04-19,71.03999999999999
2015-04-20,71.03999999999999
2015-04-21,70.3
2015-04-22,71.78
2015-04-23,68.82
2015-04-24,71.03999999999999
2015-04-25,68.82
2015-04-26,67.34
2015-04-27,71.78
2015-04-28,67.34
2015-04-29,68.08
2015-04-30,68.08
2015-05-01,66.36
2015-05-02,67.15
2015-05-03,63.2
2015-05-04,71.10000000000001
2015-05-05,70.31
2015-05-06,70.31
2015-05-07,70.31
2015-05-08,72.68
2015-05-09,69.52000000000001
2015-05-10,66.36
2015-05-11,71.89
2015-05-12,73.47
2015-05-13,74.26
2015-05-14,72.68
2015-05-15,76.63000000000001
2015-05-16,72.68
2015-05-17,72.68
2015-05-18,73.47
2015-05-19,75.05
2015-05-20,77.42
2015-05-21,74.26
2015-05-22,77.42
2015-05-23,79.0
2015-05-24,74.26
2015-05-25,74.26
2015-05-26,74.26
2015-05-27,72.68
2015-05-28,76.63000000000001
2015-05-29,75.84
2015-05-30,74.26
2015-05-31,75.05
2015-06-01,73.95
2015-06-02,75.69
2015-06-03,76.56
2015-06-04,75.69
2015-06-05,76.56
2015-06-06,72.21
2015-06-07,76.56
2015-06-08,80.04
2015-06-09,79.17
2015-06-10,75.69
2015-06-11,78.3
2015-06-12,78.3
2015-06-13,80.91
2015-06-14,78.3
2015-06-15,78.3
2015-06-16,80.04
2015-06-17,79.17
2015-06-18,80.04
2015-06-19,83.52
2015-06-20,78.3
2015-06-21,78.3
2015-06-22,82.65
2015-06-23,80.91
2015-06-24,80.91
2015-06-25,87.0
2015-06-26,82.65
2015-06-27,82.65
2015-06-28,81.78
2015-06-29,83.52
2015-06-30,84.39
2015-07-01,81.9
2015-07-02,81.9
2015-07-03,83.72
2015-07-04,80.08
2015-07-05,77.35000000000001
2015-07-06,82.81
2015-07-07,85.54
2015-07-08,86.45
2015-07-09,83.72
2015-07-10,87.36
2015-07-11,86.45
2015-07-12,86.45
2015-07-13,86.45
2015-07-14,87.36
2015-07-15,84.63000000000001
2015-07-16,84.63000000000001
2015-07-17,86.45
2015-07-18,91.0
2015-07-19,91.0
2015-07-20,89.18
2015-07-21,86.45
2015-07-22,87.36
2015-07-23,85.54
2015-07-24,88.27
2015-07-25,89.18
2015-07-26,90.09
2015-07-27,85.54
2015-07-28,84.63000000000001
2015-07-29,83.72
2015-07-30,80.99000000000001
2015-07-31,82.81
2015-08-01,84.0
2015-08-02,79.8
2015-08-03,78.96
2015-08-04,82.32
2015-08-05,81.48
2015-08-06,81.48
2015-08-07,79.8
2015-08-08,78.96
2015-08-09,78.96
2015-08-10,79.8
2015-08-11,78.96
2015-08-12,78.11999999999999
2015-08-13,74.75999999999999
2015-08-14,77.28
2015-08-15,78.11999999999999
2015-08-16,73.08
2015-08-17,74.75999999999999
2015-08-18,75.6
2015-08-19,73.08
2015-08-20,71.39999999999999
2015-08-21,73.08
2015-08-22,71.39999999999999
2015-08-23,72.24
2015-08-24,68.88
2015-08-25,69.72
2015-08-26,68.03999999999999
2015-08-27,69.72
2015-08-28,68.88
2015-08-29,68.88
2015-08-30,68.03999999999999
2015-08-31,65.52
2015-09-01,57.72
2015-09-02,59.28
2015-09-03,57.72
2015-09-04,61.620000000000005
2015-09-05,61.620000000000005
2015-09-06,61.620000000000005
2015-09-07,56.940000000000005
2015-09-08,55.38
2015-09-09,56.940000000000005
2015-09-10,57.72
2015-09-11,58.5
2015-09-12,56.160000000000004
2015-09-13,56.940000000000005
2015-09-14,56.940000000000005
2015-09-15,56.160000000000004
2015-09-16,59.28
2015-09-17,54.6
2015-09-18,60.06
2015-09-19,56.940000000000005
2015-09-20,57.72
2015-09-21,57.72
2015-09-22,58.5
2015-09-23,56.940000000000005
2015-09-24,57.72
2015-09-25,64.74000000000001
2015-09-26,78.0
2015-09-27,67.08
2015-09-28,58.5
2015-09-29,58.5
2015-09-30,58.5
2015-10-01,47.559999999999995
2015-10-02,51.66
2015-10-03,57.4
2015-10-04,52.48
2015-10-05,50.839999999999996
2015-10-06,50.839999999999996
2015-10-07,58.22
2015-10-08,82.0
2015-10-09,64.78
2015-10-10,63.959999999999994
2015-10-11,55.76
2015-10-12,54.12
2015-10-13,51.66
2015-10-14,49.199999999999996
2015-10-15,60.68
2015-10-16,54.94
2015-10-17,55.76
2015-10-18,50.839999999999996
2015-10-19,49.199999999999996
2015-10-20,46.739999999999995
2015-10-21,47.559999999999995
2015-10-22,50.839999999999996
2015-10-23,50.019999999999996
2015-10-24,51.66
2015-10-25,45.919999999999995
2015-10-26,45.099999999999994
2015-10-27,44.279999999999994
2015-10-28,44.279999999999994
2015-10-29,48.379999999999995
2015-10-30,46.739999999999995
2015-10-31,45.919999999999995
2015-11-01,62.980000000000004
2015-11-02,60.300000000000004
2015-11-03,62.980000000000004
2015-11-04,63.650000000000006
2015-11-05,66.33
2015-11-06,64.99000000000001
2015-11-07,67.0
2015-11-08,60.970000000000006
2015-11-09,61.64
2015-11-10,58.96
2015-11-11,61.64
2015-11-12,64.99000000000001
2015-11-13,62.31
2015-11-14,60.970000000000006
2015-11-15,54.940000000000005
2015-11-16,57.620000000000005
2015-11-17,57.620000000000005
2015-11-18,56.28
2015-11-19,60.300000000000004
2015-11-20,65.66000000000001
2015-11-21,62.31
2015-11-22,54.940000000000005
2015-11-23,54.27
2015-11-24,52.260000000000005
2015-11-25,51.59
2015-11-26,49.580000000000005
2015-11-27,54.940000000000005
2015-11-28,53.6
2015-11-29,56.28
2015-11-30,53.6
2015-12-01,38.86
2015-12-02,38.86
2015-12-03,41.54
2015-12-04,40.2
2015-12-05,40.870000000000005
2015-12-06,38.86
2015-12-07,38.86
2015-12-08,37.52
2015-12-09,38.190000000000005
2015-12-10,40.2
2015-12-11,39.53
2015-12-12,40.2
2015-12-13,39.53
2015-12-14,38.86
2015-12-15,39.53
2015-12-16,38.86
2015-12-17,42.21
2015-12-18,40.870000000000005
2015-12-19,42.21
2015-12-20,41.54
2015-12-21,42.88
2015-12-22,40.2
2015-12-23,42.88
2015-12-24,40.2
2015-12-25,39.53
2015-12-26,46.900000000000006
2015-12-27,48.910000000000004
2015-12-28,50.92
2015-12-29,52.93
2015-12-30,53.6
2015-12-31,67.0
2016-01-01,79.0
2016-01-02,61.620000000000005
2016-01-03,60.040000000000006
2016-01-04,60.040000000000006
2016-01-05,58.46
2016-01-06,60.830000000000005
2016-01-07,63.2
2016-01-08,59.25
2016-01-09,58.46
2016-01-10,56.09
2016-01-11,58.46
2016-01-12,56.88
2016-01-13,58.46
2016-01-14,60.040000000000006
2016-01-15,63.99
2016-01-16,67.94
2016-01-17,63.2
2016-01-18,63.99
2016-01-19,63.99
2016-01-20,58.46
2016-01-21,60.040000000000006
2016-01-22,55.300000000000004
2016-01-23,59.25
2016-01-24,58.46
2016-01-25,56.88
2016-01-26,58.46
2016-01-27,58.46
2016-01-28,57.67
2016-01-29,57.67
2016-01-30,60.040000000000006
2016-01-31,60.830000000000005
2016-02-01,62.370000000000005
2016-02-02,62.370000000000005
2016-02-03,63.18000000000001
2016-02-04,64.80000000000001
2016-02-05,64.80000000000001
2016-02-06,65.61
2016-02-07,63.18000000000001
2016-02-08,58.32000000000001
2016-02-09,66.42
2016-02-10,66.42
2016-02-11,67.23
2016-02-12,72.09
2016-02-13,81.0
2016-02-14,73.71000000000001
2016-02-15,67.23
2016-02-16,63.99
2016-02-17,66.42
2016-02-18,65.61
2016-02-19,66.42
2016-02-20,69.66000000000001
2016-02-21,70.47
2016-02-22,66.42
2016-02-23,68.04
2016-02-24,63.99
2016-02-25,65.61
2016-02-26,68.04
2016-02-27,68.85000000000001
2016-02-28,68.04
2016-02-29,63.18000000000001
2016-03-01,72.21
2016-03-02,70.55
2016-03-03,76.36
2016-03-04,76.36
2016-03-05,78.85
2016-03-06,79.67999999999999
2016-03-07,77.19
2016-03-08,82.17
2016-03-09,74.7
2016-03-10,73.86999999999999
2016-03-11,74.7
2016-03-12,81.33999999999999
2016-03-13,83.0
2016-03-14,74.7
2016-03-15,75.53
2016-03-16,72.21
2016-03-17,75.53
2016-03-18,72.21
2016-03-19,78.85
2016-03-20,80.50999999999999
2016-03-21,76.36
2016-03-22,73.03999999999999
2016-03-23,70.55
2016-03-24,71.38
2016-03-25,72.21
2016-03-26,73.03999999999999
2016-03-27,69.72
2016-03-28,72.21
2016-03-29,73.03999999999999
2016-03-30,70.55
2016-03-31,70.55
2016-04-01,72.8
2016-04-02,76.0
2016-04-03,80.0
2016-04-04,70.4
2016-04-05,70.4
2016-04-06,67.2
2016-04-07,68.0
2016-04-08,72.0
2016-04-09,75.2
2016-04-10,72.8
2016-04-11,70.4
2016-04-12,69.60000000000001
2016-04-13,72.0
2016-04-14,70.4
2016-04-15,72.8
2016-04-16,73.60000000000001
2016-04-17,73.60000000000001
2016-04-18,68.8
2016-04-19,69.60000000000001
2016-04-20,68.8
2016-04-21,64.0
2016-04-22,67.2
2016-04-23,72.0
2016-04-24,69.60000000000001
2016-04-25,66.4
2016-04-26,70.4
2016-04-27,66.4
2016-04-28,65.60000000000001
2016-04-29,68.8
2016-04-30,74.4
2016-05-01,73.08
2016-05-02,71.39999999999999
2016-05-03,74.75999999999999
2016-05-04,73.08
2016-05-05,73.92
2016-05-06,73.92
2016-05-07,74.75999999999999
2016-05-08,73.08
2016-05-09,75.6
2016-05-10,77.28
2016-05-11,73.08
2016-05-12,74.75999999999999
2016-05-13,78.11999999999999
2016-05-14,80.64
2016-05-15,81.48
2016-05-16,77.28
2016-05-17,80.64
2016-05-18,77.28
2016-05-19,77.28
2016-05-20,78.96
2016-05-21,83.16
2016-05-22,83.16
2016-05-23,76.44
2016-05-24,78.11999999999999
2016-05-25,76.44
2016-05-26,77.28
2016-05-27,80.64
2016-05-28,84.0
2016-05-29,82.32
2016-05-30,76.44
2016-05-31,73.08
2016-06-01,74.8
2016-06-02,75.68
2016-06-03,76.56
2016-06-04,78.32000000000001
2016-06-05,80.08
2016-06-06,78.32000000000001
2016-06-07,77.44
