Date,Movies
2015-02-03,31.98
2015-02-04,28.86
2015-02-05,32.76
2015-02-06,42.120000000000005
2015-02-07,66.3
2015-02-08,64.74000000000001
2015-02-09,35.88
2015-02-10,31.98
2015-02-11,32.76
2015-02-12,34.32
2015-02-13,44.46
2015-02-14,74.88
2015-02-15,78.0
2015-02-16,53.04
2015-02-17,40.56
2015-02-18,35.88
2015-02-19,35.88
2015-02-20,45.24
2015-02-21,69.42
2015-02-22,67.08
2015-02-23,42.120000000000005
2015-02-24,34.32
2015-02-25,32.76
2015-02-26,34.32
2015-02-27,39.78
2015-02-28,61.620000000000005
2015-03-01,68.16
2015-03-02,38.339999999999996
2015-03-03,33.37
2015-03-04,34.08
2015-03-05,38.339999999999996
2015-03-06,47.57
2015-03-07,70.28999999999999
2015-03-08,67.45
2015-03-09,38.339999999999996
2015-03-10,35.5
2015-03-11,34.79
2015-03-12,34.79
2015-03-13,46.86
2015-03-14,71.0
2015-03-15,65.32
2015-03-16,37.629999999999995
2015-03-17,34.79
2015-03-18,34.79
2015-03-19,34.79
2015-03-20,46.15
2015-03-21,70.28999999999999
2015-03-22,66.74
2015-03-23,39.05
2015-03-24,36.21
2015-03-25,39.76
2015-03-26,34.79
2015-03-27,45.44
2015-03-28,69.58
2015-03-29,62.48
2015-03-30,39.76
2015-03-31,36.92
2015-04-01,35.5
2015-04-02,40.47
2015-04-03,56.8
2015-04-04,71.0
2015-04-05,68.86999999999999
2015-04-06,44.019999999999996
2015-04-07,39.76
2015-04-08,36.92
2015-04-09,38.339999999999996
2015-04-10,46.86
2015-04-11,66.03
2015-04-12,64.61
2015-04-13,36.21
2015-04-14,33.37
2015-04-15,31.95
2015-04-16,34.79
2015-04-17,46.15
2015-04-18,65.32
2015-04-19,66.03
2015-04-20,36.92
2015-04-21,34.79
2015-04-22,32.66
2015-04-23,34.79
2015-04-24,44.019999999999996
2015-04-25,71.0
2015-04-26,64.61
2015-04-27,37.629999999999995
2015-04-28,34.08
2015-04-29,31.95
2015-04-30,32.66
2015-05-01,44.08
2015-05-02,62.32
2015-05-03,60.04
2015-05-04,38.76
2015-05-05,33.44
2015-05-06,33.44
2015-05-07,34.2
2015-05-08,43.32
2015-05-09,66.12
2015-05-10,68.4
2015-05-11,38.76
2015-05-12,34.2
2015-05-13,35.72
2015-05-14,37.24
2015-05-15,47.12
2015-05-16,72.96000000000001
2015-05-17,69.92
2015-05-18,39.52
2015-05-19,39.52
2015-05-20,37.24
2015-05-21,38.0
2015-05-22,50.160000000000004
2015-05-23,74.48
2015-05-24,76.0
2015-05-25,69.92
2015-05-26,43.32
2015-05-27,38.0
2015-05-28,38.76
2015-05-29,47.12
2015-05-30,70.68
2015-05-31,70.68
2015-06-01,47.309999999999995
2015-06-02,45.65
2015-06-03,45.65
2015-06-04,45.65
2015-06-05,53.949999999999996
2015-06-06,80.50999999999999
2015-06-07,75.53
2015-06-08,48.97
2015-06-09,46.48
2015-06-10,45.65
2015-06-11,48.14
2015-06-12,60.589999999999996
2015-06-13,83.0
2015-06-14,82.17
2015-06-15,52.29
2015-06-16,48.14
2015-06-17,48.14
2015-06-18,51.46
2015-06-19,58.099999999999994
2015-06-20,76.36
2015-06-21,81.33999999999999
2015-06-22,52.29
2015-06-23,51.46
2015-06-24,46.48
2015-06-25,48.14
2015-06-26,55.61
2015-06-27,83.0
2015-06-28,82.17
2015-06-29,51.46
2015-06-30,48.14
2015-07-01,49.3
2015-07-02,53.55
2015-07-03,69.7
2015-07-04,73.1
2015-07-05,74.8
2015-07-06,52.699999999999996
2015-07-07,51.0
2015-07-08,49.3
2015-07-09,51.0
2015-07-10,58.65
2015-07-11,81.6
2015-07-12,83.3
2015-07-13,51.0
2015-07-14,49.3
2015-07-15,45.9
2015-07-16,47.6
2015-07-17,57.8
2015-07-18,82.45
2015-07-19,83.3
2015-07-20,51.0
2015-07-21,50.15
2015-07-22,46.75
2015-07-23,48.449999999999996
2015-07-24,57.8
2015-07-25,80.75
2015-07-26,85.0
2015-07-27,53.55
2015-07-28,50.15
2015-07-29,49.3
2015-07-30,49.3
2015-07-31,56.949999999999996
2015-08-01,73.71000000000001
2015-08-02,76.95
2015-08-03,50.220000000000006
2015-08-04,47.790000000000006
2015-08-05,48.6
2015-08-06,46.17
2015-08-07,55.89
2015-08-08,77.76
2015-08-09,78.57000000000001
2015-08-10,51.03
2015-08-11,48.6
2015-08-12,45.36
2015-08-13,46.17
2015-08-14,57.510000000000005
2015-08-15,78.57000000000001
2015-08-16,81.0
2015-08-17,52.650000000000006
2015-08-18,48.6
2015-08-19,46.17
2015-08-20,43.74
2015-08-21,53.46
2015-08-22,75.33
2015-08-23,74.52000000000001
2015-08-24,41.31
2015-08-25,40.5
2015-08-26,38.07
2015-08-27,38.88
2015-08-28,47.790000000000006
2015-08-29,72.9
2015-08-30,72.9
2015-08-31,39.690000000000005
2015-09-01,32.25
2015-09-02,34.5
2015-09-03,34.5
2015-09-04,45.0
