Date,Return on Equity
2018-03-08,55.28999999999999
2018-03-09,12.54
2018-03-10,14.819999999999999
2018-03-11,7.409999999999999
2018-03-12,0.0
2018-03-13,18.24
2018-03-14,37.05
2018-03-15,6.27
2018-03-16,12.54
2018-03-17,7.409999999999999
2018-03-18,14.819999999999999
2018-03-19,37.05
2018-03-20,42.74999999999999
2018-03-21,31.349999999999998
2018-03-22,18.81
2018-03-23,19.38
2018-03-24,37.62
2018-03-25,30.209999999999997
2018-03-26,56.99999999999999
2018-03-27,25.65
2018-03-28,13.11
2018-03-29,25.65
2018-03-30,20.52
2018-03-31,22.799999999999997
2018-04-01,35.72
2018-04-02,58.52
2018-04-03,47.88
2018-04-04,15.96
2018-04-05,16.72
2018-04-06,45.6
2018-04-07,14.44
2018-04-08,47.12
2018-04-09,71.44
2018-04-10,55.480000000000004
2018-04-11,48.64
2018-04-12,32.68
2018-04-13,41.8
2018-04-14,19.76
2018-04-15,28.12
2018-04-16,57.76
2018-04-17,75.24
2018-04-18,31.92
2018-04-19,52.44
2018-04-20,62.32
2018-04-21,59.28
2018-04-22,44.08
2018-04-23,55.480000000000004
2018-04-24,47.12
2018-04-25,74.48
2018-04-26,60.04
2018-04-27,41.04
2018-04-28,39.52
2018-04-29,34.2
2018-04-30,76.0
2018-05-01,43.2
2018-05-02,52.92
2018-05-03,34.56
2018-05-04,22.68
2018-05-05,54.0
2018-05-06,19.44
2018-05-07,37.800000000000004
2018-05-08,34.02
2018-05-09,43.74
2018-05-10,22.14
2018-05-11,29.160000000000004
2018-05-12,15.66
2018-05-13,27.540000000000003
2018-05-14,16.200000000000003
2018-05-15,28.62
2018-05-16,25.380000000000003
2018-05-17,22.14
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,7.5600000000000005
2018-05-21,25.92
2018-05-22,12.420000000000002
2018-05-23,22.68
2018-05-24,23.76
2018-05-25,17.28
2018-05-26,19.98
2018-05-27,24.3
2018-05-28,26.46
2018-05-29,35.1
2018-05-30,9.72
2018-05-31,6.48
2018-06-01,15.48
2018-06-02,18.49
2018-06-03,36.98
2018-06-04,30.53
2018-06-05,15.049999999999999
2018-06-06,7.74
2018-06-07,38.7
2018-06-08,39.56
2018-06-09,9.03
2018-06-10,18.49
2018-06-11,14.62
2018-06-12,43.0
2018-06-13,21.93
2018-06-14,22.79
2018-06-15,24.08
2018-06-16,9.03
2018-06-17,18.49
2018-06-18,15.48
2018-06-19,38.269999999999996
2018-06-20,31.82
2018-06-21,30.96
2018-06-22,0.0
2018-06-23,9.03
2018-06-24,9.459999999999999
2018-06-25,15.48
2018-06-26,23.65
2018-06-27,31.39
2018-06-28,24.08
2018-06-29,0.0
2018-06-30,18.06
2018-07-01,35.0
2018-07-02,12.95
2018-07-03,6.6499999999999995
2018-07-04,7.699999999999999
2018-07-05,24.849999999999998
2018-07-06,9.799999999999999
2018-07-07,22.4
2018-07-08,11.549999999999999
2018-07-09,9.799999999999999
2018-07-10,35.0
2018-07-11,12.25
2018-07-12,6.6499999999999995
2018-07-13,7.0
2018-07-14,11.549999999999999
2018-07-15,15.049999999999999
2018-07-16,16.45
2018-07-17,12.95
2018-07-18,23.45
2018-07-19,20.299999999999997
2018-07-20,23.799999999999997
2018-07-21,7.699999999999999
2018-07-22,23.099999999999998
2018-07-23,13.299999999999999
2018-07-24,26.25
2018-07-25,12.95
2018-07-26,16.45
2018-07-27,6.6499999999999995
2018-07-28,19.25
2018-07-29,31.499999999999996
2018-07-30,26.599999999999998
2018-07-31,32.55
2018-08-01,19.43
2018-08-02,19.139999999999997
2018-08-03,23.2
2018-08-04,13.34
2018-08-05,9.86
2018-08-06,28.419999999999998
2018-08-07,8.41
2018-08-08,13.919999999999998
2018-08-09,14.209999999999999
2018-08-10,8.7
2018-08-11,13.049999999999999
2018-08-12,6.67
2018-08-13,17.11
2018-08-14,5.51
2018-08-15,5.8
2018-08-16,28.999999999999996
2018-08-17,8.41
2018-08-18,0.0
2018-08-19,13.34
2018-08-20,17.11
2018-08-21,0.0
2018-08-22,8.41
2018-08-23,8.7
2018-08-24,11.6
2018-08-25,13.34
2018-08-26,19.72
2018-08-27,22.33
2018-08-28,16.82
2018-08-29,16.529999999999998
2018-08-30,13.919999999999998
2018-08-31,8.41
2018-09-01,53.81999999999999
2018-09-02,17.939999999999998
2018-09-03,21.389999999999997
2018-09-04,40.709999999999994
2018-09-05,43.47
2018-09-06,43.47
2018-09-07,40.709999999999994
2018-09-08,29.669999999999998
2018-09-09,20.7
2018-09-10,44.16
2018-09-11,69.0
2018-09-12,62.099999999999994
2018-09-13,55.199999999999996
2018-09-14,37.26
2018-09-15,31.049999999999997
2018-09-16,34.5
2018-09-17,44.16
2018-09-18,54.51
2018-09-19,59.339999999999996
2018-09-20,22.08
2018-09-21,33.809999999999995
2018-09-22,26.909999999999997
2018-09-23,22.08
2018-09-24,40.709999999999994
2018-09-25,62.099999999999994
2018-09-26,44.16
2018-09-27,18.63
2018-09-28,37.949999999999996
2018-09-29,22.77
2018-09-30,8.969999999999999
2018-10-01,45.5
2018-10-02,37.099999999999994
2018-10-03,45.5
2018-10-04,42.699999999999996
2018-10-05,38.5
2018-10-06,35.699999999999996
2018-10-07,39.199999999999996
2018-10-08,46.199999999999996
2018-10-09,29.4
2018-10-10,33.599999999999994
2018-10-11,46.9
2018-10-12,39.9
2018-10-13,31.499999999999996
2018-10-14,35.699999999999996
2018-10-15,29.4
2018-10-16,42.699999999999996
2018-10-17,51.099999999999994
2018-10-18,34.3
2018-10-19,22.4
2018-10-20,30.099999999999998
2018-10-21,35.0
2018-10-22,21.0
2018-10-23,42.0
2018-10-24,70.0
2018-10-25,56.0
2018-10-26,35.699999999999996
2018-10-27,0.0
2018-10-28,35.699999999999996
2018-10-29,37.8
2018-10-30,33.599999999999994
2018-10-31,30.799999999999997
2018-11-01,36.480000000000004
2018-11-02,62.72
2018-11-03,10.88
2018-11-04,40.32
2018-11-05,64.0
2018-11-06,33.92
2018-11-07,22.400000000000002
2018-11-08,8.32
2018-11-09,26.240000000000002
2018-11-10,51.84
2018-11-11,41.6
2018-11-12,25.6
2018-11-13,60.800000000000004
2018-11-14,26.240000000000002
2018-11-15,42.88
2018-11-16,35.84
2018-11-17,0.0
2018-11-18,40.96
2018-11-19,53.76
2018-11-20,44.160000000000004
2018-11-21,19.2
2018-11-22,0.0
2018-11-23,9.6
2018-11-24,9.6
2018-11-25,10.24
2018-11-26,56.32
2018-11-27,50.56
2018-11-28,34.56
2018-11-29,33.92
2018-11-30,58.24
2018-12-01,19.84
2018-12-02,6.82
2018-12-03,27.9
2018-12-04,62.0
2018-12-05,45.26
2018-12-06,45.88
2018-12-07,29.14
2018-12-08,20.46
2018-12-09,19.84
2018-12-10,45.88
2018-12-11,39.68
2018-12-12,46.5
2018-12-13,22.94
2018-12-14,22.94
2018-12-15,14.26
2018-12-16,6.82
2018-12-17,10.54
2018-12-18,33.48
2018-12-19,17.98
2018-12-20,0.0
2018-12-21,6.2
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,14.26
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,6.2
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,5.76
2019-01-02,5.04
2019-01-03,4.68
2019-01-04,0.0
2019-01-05,5.3999999999999995
2019-01-06,5.3999999999999995
2019-01-07,4.68
2019-01-08,9.36
2019-01-09,18.72
2019-01-10,9.36
2019-01-11,0.0
2019-01-12,5.3999999999999995
2019-01-13,5.3999999999999995
