Date,Market Timing
2014-12-25,0.0
2014-12-26,0.0
2014-12-27,18.36
2014-12-28,0.0
2014-12-29,15.479999999999999
2014-12-30,15.479999999999999
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,24.48
2015-01-03,27.200000000000003
2015-01-04,26.520000000000003
2015-01-05,0.0
2015-01-06,21.76
2015-01-07,21.76
2015-01-08,22.44
2015-01-09,0.0
2015-01-10,27.200000000000003
2015-01-11,26.520000000000003
2015-01-12,21.080000000000002
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,68.0
2015-01-17,27.200000000000003
2015-01-18,0.0
2015-01-19,23.12
2015-01-20,43.52
2015-01-21,21.76
2015-01-22,21.080000000000002
2015-01-23,22.44
2015-01-24,26.520000000000003
2015-01-25,27.200000000000003
2015-01-26,21.080000000000002
2015-01-27,42.160000000000004
2015-01-28,21.76
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,26.520000000000003
2015-02-01,0.0
2015-02-02,55.00000000000001
2015-02-03,27.500000000000004
2015-02-04,18.150000000000002
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,23.1
2015-02-08,0.0
2015-02-09,35.75
2015-02-10,27.500000000000004
2015-02-11,18.150000000000002
2015-02-12,18.150000000000002
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,19.8
2015-02-17,0.0
2015-02-18,18.700000000000003
2015-02-19,18.700000000000003
2015-02-20,19.25
2015-02-21,23.1
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,18.150000000000002
2015-02-26,18.700000000000003
2015-02-27,18.700000000000003
2015-02-28,0.0
2015-03-01,31.11
2015-03-02,50.49
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,24.990000000000002
2015-03-06,26.52
2015-03-07,32.13
2015-03-08,32.64
2015-03-09,26.01
2015-03-10,51.0
2015-03-11,25.5
2015-03-12,26.01
2015-03-13,27.03
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,26.01
2015-03-18,26.01
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,48.96
2015-03-23,25.5
2015-03-24,26.01
2015-03-25,43.86
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,36.21
2015-03-29,0.0
2015-03-30,26.01
2015-03-31,26.52
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,9.02
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,16.4
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,8.61
2015-04-11,0.0
2015-04-12,10.66
2015-04-13,8.2
2015-04-14,7.789999999999999
2015-04-15,0.0
2015-04-16,16.4
2015-04-17,0.0
2015-04-18,21.73
2015-04-19,10.66
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,41.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,10.66
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,8.2
2015-04-29,16.4
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,31.08
2015-05-03,0.0
2015-05-04,24.05
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,24.419999999999998
2015-05-08,25.16
2015-05-09,0.0
2015-05-10,32.93
2015-05-11,24.419999999999998
2015-05-12,24.05
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,31.82
2015-05-18,24.05
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,25.53
2015-05-22,26.64
2015-05-23,34.04
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,24.419999999999998
2015-05-28,37.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,32.19
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,20.0
2015-06-04,0.0
2015-06-05,31.5
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,20.0
2015-06-10,0.0
2015-06-11,0.0
