Date,Gross Domestic Product
2015-06-06,9.92
2015-06-07,9.92
2015-06-08,15.19
2015-06-09,18.91
2015-06-10,0.0
2015-06-11,8.06
2015-06-12,8.06
2015-06-13,10.23
2015-06-14,20.15
2015-06-15,22.94
2015-06-16,15.19
2015-06-17,18.91
2015-06-18,15.5
2015-06-19,16.12
2015-06-20,14.57
2015-06-21,10.23
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,7.75
2015-06-25,15.5
2015-06-26,16.12
2015-06-27,14.57
2015-06-28,9.92
2015-06-29,15.5
2015-06-30,31.0
2015-07-01,8.64
2015-07-02,9.12
2015-07-03,6.96
2015-07-04,0.0
2015-07-05,8.16
2015-07-06,8.64
2015-07-07,17.04
2015-07-08,11.52
2015-07-09,11.76
2015-07-10,9.12
2015-07-11,18.48
2015-07-12,7.4399999999999995
2015-07-13,11.52
2015-07-14,8.64
2015-07-15,11.28
2015-07-16,11.76
2015-07-17,0.0
2015-07-18,7.68
2015-07-19,11.76
2015-07-20,6.0
2015-07-21,17.28
2015-07-22,11.52
2015-07-23,5.76
2015-07-24,12.24
2015-07-25,7.4399999999999995
2015-07-26,22.32
2015-07-27,11.52
2015-07-28,8.64
2015-07-29,8.64
2015-07-30,0.0
2015-07-31,24.0
2015-08-01,12.15
2015-08-02,6.210000000000001
2015-08-03,4.86
2015-08-04,0.0
2015-08-05,4.86
2015-08-06,4.86
2015-08-07,14.850000000000001
2015-08-08,0.0
2015-08-09,6.210000000000001
2015-08-10,0.0
2015-08-11,4.86
2015-08-12,4.86
2015-08-13,4.86
2015-08-14,15.120000000000001
2015-08-15,6.210000000000001
2015-08-16,0.0
2015-08-17,14.31
2015-08-18,23.76
2015-08-19,19.17
2015-08-20,9.450000000000001
2015-08-21,19.44
2015-08-22,0.0
2015-08-23,11.88
2015-08-24,18.630000000000003
2015-08-25,13.770000000000001
2015-08-26,9.18
2015-08-27,9.18
2015-08-28,14.580000000000002
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,27.0
2015-09-01,38.86
2015-09-02,49.580000000000005
2015-09-03,21.44
2015-09-04,48.24
2015-09-05,0.0
2015-09-06,19.43
2015-09-07,13.4
2015-09-08,34.84
2015-09-09,27.470000000000002
2015-09-10,41.54
2015-09-11,35.510000000000005
2015-09-12,18.09
2015-09-13,17.42
2015-09-14,41.54
