Date,Interactive Media
2014-09-06,40.300000000000004
2014-09-07,0.0
2014-09-08,21.45
2014-09-09,20.8
2014-09-10,42.9
2014-09-11,10.4
2014-09-12,22.1
2014-09-13,0.0
2014-09-14,13.65
2014-09-15,42.9
2014-09-16,31.85
2014-09-17,65.0
2014-09-18,32.5
2014-09-19,11.05
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,32.5
2014-09-23,21.45
2014-09-24,22.1
2014-09-25,11.05
2014-09-26,11.05
2014-09-27,14.3
2014-09-28,0.0
2014-09-29,21.45
2014-09-30,10.4
2014-10-01,16.799999999999997
2014-10-02,0.0
2014-10-03,51.8
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,33.599999999999994
2014-10-07,49.699999999999996
2014-10-08,0.0
2014-10-09,51.099999999999994
2014-10-10,70.0
2014-10-11,21.7
2014-10-12,21.7
2014-10-13,51.099999999999994
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,33.599999999999994
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,21.0
2014-10-20,0.0
2014-10-21,32.9
2014-10-22,49.699999999999996
2014-10-23,0.0
2014-10-24,0.0
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,65.1
2014-10-28,32.9
2014-10-29,49.699999999999996
2014-10-30,33.599999999999994
2014-10-31,36.4
2014-11-01,24.09
2014-11-02,46.72
2014-11-03,73.0
2014-11-04,35.769999999999996
2014-11-05,52.56
2014-11-06,35.769999999999996
2014-11-07,18.98
2014-11-08,0.0
2014-11-09,22.63
2014-11-10,18.25
2014-11-11,0.0
2014-11-12,35.769999999999996
2014-11-13,18.25
2014-11-14,0.0
2014-11-15,22.63
2014-11-16,67.16
2014-11-17,0.0
2014-11-18,19.71
2014-11-19,37.23
2014-11-20,54.75
2014-11-21,55.48
2014-11-22,22.63
2014-11-23,45.26
2014-11-24,17.52
2014-11-25,0.0
2014-11-26,19.71
2014-11-27,0.0
2014-11-28,21.9
2014-11-29,0.0
2014-11-30,21.9
2014-12-01,32.48
2014-12-02,11.02
2014-12-03,22.619999999999997
2014-12-04,0.0
2014-12-05,57.99999999999999
2014-12-06,13.919999999999998
2014-12-07,42.339999999999996
2014-12-08,22.619999999999997
2014-12-09,11.02
2014-12-10,34.8
2014-12-11,0.0
2014-12-12,12.18
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,11.6
2014-12-17,24.36
2014-12-18,0.0
2014-12-19,26.099999999999998
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,13.34
2014-12-23,13.34
2014-12-24,15.079999999999998
2014-12-25,0.0
2014-12-26,0.0
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,26.099999999999998
2014-12-30,0.0
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,20.77
2015-01-04,0.0
2015-01-05,51.59
2015-01-06,0.0
2015-01-07,67.0
2015-01-08,50.25
2015-01-09,51.59
2015-01-10,0.0
2015-01-11,20.1
2015-01-12,16.080000000000002
2015-01-13,64.99000000000001
2015-01-14,16.75
2015-01-15,33.5
2015-01-16,34.17
2015-01-17,20.77
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,16.75
2015-01-21,48.910000000000004
2015-01-22,32.830000000000005
2015-01-23,33.5
2015-01-24,20.1
2015-01-25,20.77
2015-01-26,32.160000000000004
2015-01-27,32.160000000000004
2015-01-28,32.830000000000005
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,27.36
2015-02-02,44.64
2015-02-03,22.32
2015-02-04,44.64
2015-02-05,0.0
2015-02-06,69.84
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,65.52
2015-02-10,66.24
2015-02-11,22.32
2015-02-12,22.32
2015-02-13,47.519999999999996
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,72.0
2015-02-17,22.32
2015-02-18,0.0
2015-02-19,68.39999999999999
2015-02-20,23.04
2015-02-21,28.08
2015-02-22,0.0
2015-02-23,66.24
2015-02-24,0.0
2015-02-25,45.36
2015-02-26,22.32
2015-02-27,68.39999999999999
2015-02-28,55.44
2015-03-01,0.0
2015-03-02,26.520000000000003
2015-03-03,38.760000000000005
2015-03-04,12.920000000000002
2015-03-05,26.520000000000003
2015-03-06,55.760000000000005
2015-03-07,0.0
2015-03-08,17.0
2015-03-09,13.600000000000001
2015-03-10,13.600000000000001
2015-03-11,67.32000000000001
2015-03-12,27.200000000000003
2015-03-13,14.280000000000001
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,27.880000000000003
2015-03-17,13.600000000000001
2015-03-18,40.800000000000004
2015-03-19,27.200000000000003
2015-03-20,13.600000000000001
2015-03-21,0.0
2015-03-22,17.0
2015-03-23,13.600000000000001
2015-03-24,13.600000000000001
2015-03-25,68.0
