Date,Analyst Ratings
2015-07-22,29.28
2015-07-23,29.89
2015-07-24,61.0
2015-07-25,37.21
2015-07-26,0.0
2015-07-27,57.949999999999996
2015-07-28,29.28
2015-07-29,29.28
2015-07-30,29.28
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,22.4
2015-08-04,44.099999999999994
2015-08-05,22.4
2015-08-06,22.4
2015-08-07,70.0
2015-08-08,28.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,22.4
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,43.4
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,28.0
2015-08-24,21.7
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,21.7
2015-08-28,22.4
2015-08-29,54.599999999999994
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,61.0
2015-09-03,30.5
2015-09-04,32.33
2015-09-05,39.65
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,29.28
2015-09-10,29.28
2015-09-11,30.5
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,59.17
2015-09-16,29.89
2015-09-17,29.89
2015-09-18,30.5
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,29.28
2015-09-22,0.0
2015-09-23,29.89
2015-09-24,0.0
2015-09-25,30.5
2015-09-26,0.0
2015-09-27,38.43
2015-09-28,28.669999999999998
2015-09-29,57.339999999999996
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,25.5
2015-10-07,25.5
2015-10-08,25.5
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,26.52
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,51.0
2015-10-16,26.01
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,24.990000000000002
2015-10-20,0.0
2015-10-21,24.48
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,48.45
2015-10-28,0.0
2015-10-29,24.48
2015-10-30,26.01
2015-10-31,32.64
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,36.480000000000004
2015-11-05,18.240000000000002
2015-11-06,18.62
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,19.38
2015-11-12,38.0
2015-11-13,19.38
2015-11-14,0.0
2015-11-15,23.56
2015-11-16,0.0
2015-11-17,17.86
2015-11-18,18.240000000000002
2015-11-19,18.240000000000002
2015-11-20,19.0
2015-11-21,23.94
2015-11-22,0.0
2015-11-23,18.62
2015-11-24,19.0
2015-11-25,20.52
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,23.56
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,12.74
2015-12-04,0.0
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,26.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,17.42
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,14.82
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,16.900000000000002
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,26.01
2016-01-04,0.0
2016-01-05,21.93
2016-01-06,22.44
2016-01-07,21.93
2016-01-08,0.0
2016-01-09,51.0
2016-01-10,0.0
2016-01-11,42.33
2016-01-12,0.0
2016-01-13,43.86
2016-01-14,31.11
2016-01-15,22.44
2016-01-16,25.5
2016-01-17,25.5
2016-01-18,0.0
2016-01-19,21.42
2016-01-20,21.93
2016-01-21,21.93
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,21.42
2016-01-26,21.42
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,26.52
2016-01-31,26.01
