Date,Bar Chart
2015-01-13,44.8
2015-01-14,43.4
2015-01-15,62.99999999999999
2015-01-16,61.599999999999994
2015-01-17,25.9
2015-01-18,8.399999999999999
2015-01-19,48.3
2015-01-20,65.1
2015-01-21,55.3
2015-01-22,60.9
2015-01-23,54.599999999999994
2015-01-24,14.0
2015-01-25,22.4
2015-01-26,64.39999999999999
2015-01-27,70.0
2015-01-28,58.099999999999994
2015-01-29,44.8
2015-01-30,42.699999999999996
2015-01-31,18.9
2015-02-01,16.94
2015-02-02,30.03
2015-02-03,60.83
2015-02-04,50.82
2015-02-05,63.14
2015-02-06,77.0
2015-02-07,20.79
2015-02-08,29.26
2015-02-09,59.29
2015-02-10,68.53
2015-02-11,60.06
2015-02-12,64.68
2015-02-13,39.27
2015-02-14,29.26
2015-02-15,23.87
2015-02-16,64.68
2015-02-17,37.730000000000004
2015-02-18,60.83
2015-02-19,73.15
2015-02-20,65.45
2015-02-21,37.730000000000004
2015-02-22,14.63
2015-02-23,75.46000000000001
2015-02-24,72.38
2015-02-25,61.6
2015-02-26,44.660000000000004
2015-02-27,33.11
2015-02-28,23.1
2015-03-01,29.2
2015-03-02,66.42999999999999
2015-03-03,67.89
2015-03-04,40.15
2015-03-05,45.99
2015-03-06,48.18
2015-03-07,33.58
2015-03-08,10.219999999999999
2015-03-09,51.1
2015-03-10,73.0
2015-03-11,40.879999999999995
2015-03-12,48.18
2015-03-13,32.12
2015-03-14,20.439999999999998
2015-03-15,16.06
2015-03-16,35.769999999999996
2015-03-17,54.019999999999996
2015-03-18,50.37
2015-03-19,49.64
2015-03-20,50.37
2015-03-21,26.28
2015-03-22,26.28
2015-03-23,62.05
2015-03-24,47.449999999999996
2015-03-25,24.09
2015-03-26,52.56
2015-03-27,47.449999999999996
2015-03-28,23.36
2015-03-29,28.47
2015-03-30,62.78
2015-03-31,37.96
2015-04-01,36.49
2015-04-02,57.85
2015-04-03,17.8
2015-04-04,16.02
2015-04-05,32.93
2015-04-06,32.93
2015-04-07,35.6
2015-04-08,51.62
2015-04-09,52.51
2015-04-10,57.85
2015-04-11,20.47
2015-04-12,41.83
2015-04-13,48.06
2015-04-14,89.0
2015-04-15,19.580000000000002
2015-04-16,60.52
2015-04-17,54.29
2015-04-18,0.0
2015-04-19,31.150000000000002
2015-04-20,39.160000000000004
2015-04-21,59.63
2015-04-22,40.05
2015-04-23,51.62
2015-04-24,37.38
2015-04-25,36.49
2015-04-26,25.81
2015-04-27,56.07
2015-04-28,71.2
2015-04-29,48.06
2015-04-30,68.53
2015-05-01,48.96
2015-05-02,22.32
2015-05-03,33.839999999999996
2015-05-04,59.76
2015-05-05,46.08
2015-05-06,45.36
2015-05-07,41.04
2015-05-08,54.72
2015-05-09,17.28
2015-05-10,14.399999999999999
2015-05-11,56.879999999999995
2015-05-12,46.8
2015-05-13,53.28
2015-05-14,66.24
2015-05-15,56.879999999999995
2015-05-16,25.919999999999998
2015-05-17,11.52
2015-05-18,30.24
2015-05-19,72.0
2015-05-20,41.76
2015-05-21,48.239999999999995
2015-05-22,43.199999999999996
2015-05-23,12.24
2015-05-24,18.72
2015-05-25,13.68
2015-05-26,41.76
2015-05-27,48.239999999999995
2015-05-28,57.599999999999994
2015-05-29,62.64
2015-05-30,17.28
2015-05-31,31.68
2015-06-01,36.57
2015-06-02,47.61
2015-06-03,35.19
2015-06-04,44.16
2015-06-05,37.26
2015-06-06,20.009999999999998
2015-06-07,28.979999999999997
2015-06-08,55.199999999999996
2015-06-09,39.33
2015-06-10,42.779999999999994
2015-06-11,58.65
2015-06-12,28.29
2015-06-13,23.459999999999997
2015-06-14,20.009999999999998
2015-06-15,40.019999999999996
2015-06-16,57.269999999999996
2015-06-17,41.4
2015-06-18,49.67999999999999
2015-06-19,35.19
2015-06-20,22.77
2015-06-21,17.25
2015-06-22,69.0
2015-06-23,39.33
2015-06-24,53.129999999999995
2015-06-25,64.86
2015-06-26,41.4
2015-06-27,11.04
2015-06-28,28.979999999999997
2015-06-29,35.879999999999995
2015-06-30,68.30999999999999
2015-07-01,48.96
2015-07-02,38.080000000000005
2015-07-03,27.200000000000003
2015-07-04,17.0
2015-07-05,17.0
2015-07-06,30.6
2015-07-07,45.56
2015-07-08,44.2
2015-07-09,57.120000000000005
2015-07-10,34.0
2015-07-11,25.840000000000003
2015-07-12,23.8
2015-07-13,44.2
2015-07-14,35.36
2015-07-15,43.52
2015-07-16,44.88
2015-07-17,38.080000000000005
2015-07-18,23.8
2015-07-19,10.88
2015-07-20,38.080000000000005
2015-07-21,66.64
2015-07-22,44.2
2015-07-23,36.720000000000006
2015-07-24,29.240000000000002
2015-07-25,28.560000000000002
2015-07-26,23.12
2015-07-27,38.080000000000005
2015-07-28,68.0
2015-07-29,42.160000000000004
2015-07-30,56.440000000000005
2015-07-31,40.120000000000005
2015-08-01,25.16
2015-08-02,17.02
2015-08-03,34.78
2015-08-04,64.38
2015-08-05,48.1
2015-08-06,33.3
2015-08-07,20.72
2015-08-08,19.24
2015-08-09,28.12
2015-08-10,45.88
2015-08-11,57.72
2015-08-12,59.2
2015-08-13,48.1
2015-08-14,40.7
2015-08-15,19.24
2015-08-16,19.24
2015-08-17,54.019999999999996
2015-08-18,55.5
2015-08-19,48.839999999999996
2015-08-20,42.92
2015-08-21,34.78
2015-08-22,19.24
2015-08-23,35.519999999999996
2015-08-24,48.1
2015-08-25,54.019999999999996
2015-08-26,41.44
2015-08-27,74.0
2015-08-28,54.019999999999996
2015-08-29,18.5
2015-08-30,23.68
2015-08-31,56.98
2015-09-01,57.04
2015-09-02,20.240000000000002
2015-09-03,90.16000000000001
2015-09-04,73.60000000000001
2015-09-05,36.800000000000004
2015-09-06,16.560000000000002
2015-09-07,30.360000000000003
2015-09-08,84.64
2015-09-09,47.84
2015-09-10,59.800000000000004
2015-09-11,69.92
2015-09-12,10.120000000000001
2015-09-13,20.240000000000002
2015-09-14,44.160000000000004
2015-09-15,58.88
2015-09-16,59.800000000000004
2015-09-17,92.0
2015-09-18,49.68
2015-09-19,11.040000000000001
2015-09-20,10.120000000000001
2015-09-21,55.2
2015-09-22,55.2
2015-09-23,59.800000000000004
2015-09-24,68.08
2015-09-25,33.120000000000005
2015-09-26,15.64
2015-09-27,15.64
2015-09-28,62.56
2015-09-29,57.96
2015-09-30,58.88
2015-10-01,68.06
2015-10-02,46.48
2015-10-03,13.28
2015-10-04,17.43
2015-10-05,54.779999999999994
2015-10-06,68.89
2015-10-07,53.12
2015-10-08,58.93
2015-10-09,34.86
2015-10-10,10.79
2015-10-11,20.75
2015-10-12,42.33
2015-10-13,58.099999999999994
2015-10-14,53.949999999999996
2015-10-15,48.97
2015-10-16,42.33
2015-10-17,9.959999999999999
2015-10-18,12.45
2015-10-19,59.76
2015-10-20,53.12
2015-10-21,64.74
2015-10-22,83.0
2015-10-23,48.14
2015-10-24,27.389999999999997
2015-10-25,24.9
2015-10-26,54.779999999999994
2015-10-27,58.099999999999994
2015-10-28,46.48
2015-10-29,48.14
2015-10-30,36.519999999999996
2015-10-31,14.94
2015-11-01,41.25
2015-11-02,66.75
2015-11-03,64.5
2015-11-04,49.5
2015-11-05,50.25
2015-11-06,47.25
2015-11-07,25.5
2015-11-08,33.75
2015-11-09,50.25
2015-11-10,75.0
2015-11-11,59.25
2015-11-12,63.0
2015-11-13,53.25
2015-11-14,17.25
2015-11-15,30.75
2015-11-16,41.25
2015-11-17,49.5
2015-11-18,41.25
2015-11-19,52.5
2015-11-20,58.5
2015-11-21,28.5
2015-11-22,11.25
2015-11-23,37.5
2015-11-24,60.75
2015-11-25,45.75
2015-11-26,17.25
2015-11-27,27.0
2015-11-28,16.5
2015-11-29,16.5
2015-11-30,41.25
2015-12-01,44.88
2015-12-02,56.1
2015-12-03,58.74
2015-12-04,58.080000000000005
2015-12-05,15.84
2015-12-06,29.040000000000003
2015-12-07,56.1
2015-12-08,43.56
2015-12-09,62.7
2015-12-10,65.34
2015-12-11,41.580000000000005
2015-12-12,21.12
2015-12-13,10.56
2015-12-14,52.800000000000004
2015-12-15,42.9
2015-12-16,58.74
2015-12-17,42.9
2015-12-18,66.0
2015-12-19,25.080000000000002
2015-12-20,19.8
2015-12-21,43.56
2015-12-22,29.700000000000003
2015-12-23,33.660000000000004
2015-12-24,11.22
2015-12-25,9.24
2015-12-26,14.520000000000001
2015-12-27,10.56
2015-12-28,41.580000000000005
2015-12-29,27.720000000000002
2015-12-30,37.620000000000005
2015-12-31,17.16
2016-01-01,15.0
2016-01-02,13.2
2016-01-03,20.4
2016-01-04,33.0
2016-01-05,34.8
2016-01-06,24.0
2016-01-07,57.599999999999994
2016-01-08,51.0
2016-01-09,18.0
2016-01-10,16.8
2016-01-11,39.0
2016-01-12,34.8
2016-01-13,54.0
2016-01-14,29.4
2016-01-15,28.799999999999997
2016-01-16,31.2
2016-01-17,21.599999999999998
2016-01-18,29.4
2016-01-19,34.8
2016-01-20,48.0
2016-01-21,39.0
2016-01-22,34.199999999999996
2016-01-23,25.2
2016-01-24,19.8
2016-01-25,43.8
2016-01-26,42.6
2016-01-27,60.0
2016-01-28,49.199999999999996
2016-01-29,31.799999999999997
2016-01-30,28.2
2016-01-31,27.0
2016-02-01,73.26
2016-02-02,68.08
2016-02-03,56.98
2016-02-04,74.0
2016-02-05,39.22
2016-02-06,22.2
2016-02-07,33.3
2016-02-08,59.2
2016-02-09,64.38
2016-02-10,59.94
2016-02-11,56.98
2016-02-12,63.64
2016-02-13,38.48
2016-02-14,19.24
2016-02-15,44.4
2016-02-16,34.78
2016-02-17,73.26
2016-02-18,62.16
2016-02-19,37.74
2016-02-20,24.419999999999998
2016-02-21,36.26
2016-02-22,59.94
2016-02-23,47.36
2016-02-24,63.64
2016-02-25,46.62
2016-02-26,49.58
2016-02-27,11.84
2016-02-28,31.82
2016-02-29,68.08
2016-03-01,72.0
2016-03-02,39.6
2016-03-03,70.56
2016-03-04,50.4
2016-03-05,23.04
2016-03-06,31.68
2016-03-07,60.48
2016-03-08,31.68
2016-03-09,48.239999999999995
2016-03-10,48.96
2016-03-11,38.879999999999995
2016-03-12,15.12
2016-03-13,27.36
2016-03-14,53.28
2016-03-15,57.599999999999994
2016-03-16,39.6
2016-03-17,54.72
2016-03-18,41.76
2016-03-19,10.799999999999999
2016-03-20,28.08
2016-03-21,70.56
2016-03-22,51.12
2016-03-23,47.519999999999996
2016-03-24,46.08
2016-03-25,27.36
2016-03-26,24.48
2016-03-27,20.16
2016-03-28,41.04
2016-03-29,36.0
2016-03-30,42.48
2016-03-31,60.48
2016-04-01,48.1
2016-04-02,25.16
2016-04-03,34.78
2016-04-04,65.12
2016-04-05,65.12
2016-04-06,45.14
2016-04-07,62.16
2016-04-08,55.5
2016-04-09,39.96
2016-04-10,28.86
2016-04-11,65.12
2016-04-12,45.14
2016-04-13,50.32
2016-04-14,71.03999999999999
2016-04-15,48.1
2016-04-16,25.9
2016-04-17,46.62
2016-04-18,67.34
2016-04-19,62.16
2016-04-20,45.14
2016-04-21,69.56
2016-04-22,37.74
2016-04-23,20.72
2016-04-24,30.34
2016-04-25,61.42
2016-04-26,44.4
2016-04-27,57.72
2016-04-28,74.0
2016-04-29,59.94
2016-04-30,30.34
2016-05-01,0.0
2016-05-02,48.75
2016-05-03,26.0
2016-05-04,43.550000000000004
2016-05-05,26.0
2016-05-06,30.55
2016-05-07,14.3
2016-05-08,22.1
2016-05-09,65.0
2016-05-10,48.75
2016-05-11,56.550000000000004
2016-05-12,24.05
2016-05-13,51.35
2016-05-14,22.1
2016-05-15,29.25
2016-05-16,26.650000000000002
2016-05-17,23.400000000000002
2016-05-18,50.7
2016-05-19,44.85
2016-05-20,27.95
2016-05-21,25.35
2016-05-22,26.0
2016-05-23,29.900000000000002
2016-05-24,18.2
2016-05-25,45.5
2016-05-26,46.800000000000004
