Date,Broadcasting
2016-02-28,41.31
2016-02-29,47.790000000000006
2016-03-01,48.64
2016-03-02,50.92
2016-03-03,59.28
2016-03-04,42.56
2016-03-05,56.24
2016-03-06,50.160000000000004
2016-03-07,69.16
2016-03-08,67.64
2016-03-09,70.68
2016-03-10,56.24
2016-03-11,56.24
2016-03-12,47.88
2016-03-13,44.08
2016-03-14,76.0
2016-03-15,53.2
2016-03-16,50.160000000000004
2016-03-17,68.4
2016-03-18,56.24
2016-03-19,44.84
2016-03-20,41.04
2016-03-21,60.04
2016-03-22,51.68
2016-03-23,58.52
2016-03-24,44.84
2016-03-25,49.4
2016-03-26,49.4
2016-03-27,34.2
2016-03-28,34.96
2016-03-29,53.96
2016-03-30,38.0
2016-03-31,66.12
2016-04-01,49.92
2016-04-02,46.800000000000004
2016-04-03,64.74000000000001
2016-04-04,64.74000000000001
2016-04-05,78.0
2016-04-06,71.76
2016-04-07,62.400000000000006
2016-04-08,50.7
2016-04-09,62.400000000000006
2016-04-10,44.46
2016-04-11,74.88
2016-04-12,61.620000000000005
2016-04-13,70.98
2016-04-14,53.04
2016-04-15,56.940000000000005
2016-04-16,37.44
2016-04-17,34.32
2016-04-18,66.3
2016-04-19,63.18
2016-04-20,65.52
2016-04-21,59.28
2016-04-22,63.18
2016-04-23,44.46
2016-04-24,48.36
2016-04-25,68.64
2016-04-26,66.3
2016-04-27,67.08
2016-04-28,70.98
2016-04-29,46.800000000000004
2016-04-30,47.58
2016-05-01,43.89
2016-05-02,47.74
2016-05-03,60.83
2016-05-04,68.53
2016-05-05,51.59
2016-05-06,65.45
2016-05-07,57.75
2016-05-08,44.660000000000004
2016-05-09,73.15
2016-05-10,77.0
2016-05-11,51.59
2016-05-12,62.370000000000005
2016-05-13,51.59
2016-05-14,36.96
2016-05-15,43.120000000000005
2016-05-16,54.67
2016-05-17,73.92
2016-05-18,53.13
2016-05-19,40.04
2016-05-20,59.29
2016-05-21,44.660000000000004
2016-05-22,37.730000000000004
2016-05-23,50.050000000000004
2016-05-24,40.04
2016-05-25,55.44
2016-05-26,66.22
2016-05-27,56.21
2016-05-28,31.57
2016-05-29,50.82
2016-05-30,32.34
2016-05-31,56.21
2016-06-01,71.0
2016-06-02,56.8
2016-06-03,42.599999999999994
2016-06-04,59.64
2016-06-05,38.339999999999996
2016-06-06,54.669999999999995
2016-06-07,48.989999999999995
2016-06-08,52.54
2016-06-09,53.959999999999994
2016-06-10,56.8
2016-06-11,50.41
2016-06-12,33.37
2016-06-13,69.58
2016-06-14,50.41
2016-06-15,46.86
2016-06-16,38.339999999999996
2016-06-17,35.5
2016-06-18,41.89
2016-06-19,35.5
2016-06-20,40.47
