Date,Cable
2016-01-09,76.25999999999999
2016-01-10,75.44
2016-01-11,71.33999999999999
2016-01-12,72.97999999999999
2016-01-13,72.16
2016-01-14,67.24
2016-01-15,78.72
2016-01-16,82.0
2016-01-17,74.61999999999999
2016-01-18,75.44
2016-01-19,72.97999999999999
2016-01-20,77.89999999999999
2016-01-21,73.8
2016-01-22,73.8
2016-01-23,74.61999999999999
2016-01-24,68.88
2016-01-25,70.52
2016-01-26,72.16
2016-01-27,65.6
2016-01-28,68.06
2016-01-29,72.16
2016-01-30,78.72
2016-01-31,72.97999999999999
2016-02-01,63.91
2016-02-02,63.91
2016-02-03,68.06
2016-02-04,66.39999999999999
2016-02-05,62.25
2016-02-06,67.22999999999999
2016-02-07,73.86999999999999
2016-02-08,58.93
2016-02-09,60.589999999999996
2016-02-10,65.57
2016-02-11,64.74
2016-02-12,68.89
2016-02-13,73.03999999999999
2016-02-14,69.72
2016-02-15,83.0
2016-02-16,73.86999999999999
2016-02-17,71.38
2016-02-18,68.06
2016-02-19,68.06
2016-02-20,70.55
2016-02-21,68.06
2016-02-22,68.06
2016-02-23,64.74
2016-02-24,65.57
2016-02-25,62.25
2016-02-26,63.91
2016-02-27,63.91
2016-02-28,64.74
2016-02-29,67.22999999999999
2016-03-01,71.61
2016-03-02,72.38
2016-03-03,70.07000000000001
2016-03-04,72.38
2016-03-05,77.0
2016-03-06,67.76
2016-03-07,70.84
2016-03-08,64.68
2016-03-09,72.38
2016-03-10,68.53
2016-03-11,69.3
2016-03-12,70.84
2016-03-13,70.07000000000001
2016-03-14,70.84
2016-03-15,75.46000000000001
2016-03-16,69.3
2016-03-17,69.3
2016-03-18,71.61
2016-03-19,70.84
2016-03-20,66.22
2016-03-21,72.38
2016-03-22,70.84
2016-03-23,66.99
2016-03-24,65.45
2016-03-25,65.45
2016-03-26,66.22
2016-03-27,58.52
2016-03-28,70.07000000000001
2016-03-29,71.61
2016-03-30,70.84
2016-03-31,71.61
2016-04-01,69.52000000000001
2016-04-02,77.42
2016-04-03,75.05
2016-04-04,79.0
2016-04-05,75.84
2016-04-06,68.73
2016-04-07,70.31
2016-04-08,71.10000000000001
2016-04-09,76.63000000000001
2016-04-10,71.10000000000001
2016-04-11,76.63000000000001
2016-04-12,67.15
2016-04-13,74.26
2016-04-14,72.68
2016-04-15,73.47
2016-04-16,70.31
2016-04-17,65.57000000000001
2016-04-18,72.68
2016-04-19,67.94
2016-04-20,66.36
2016-04-21,60.830000000000005
2016-04-22,65.57000000000001
2016-04-23,66.36
2016-04-24,67.15
2016-04-25,74.26
2016-04-26,73.47
2016-04-27,67.94
2016-04-28,69.52000000000001
2016-04-29,68.73
2016-04-30,68.73
2016-05-01,68.73
2016-05-02,71.89
2016-05-03,70.31
2016-05-04,71.89
2016-05-05,67.94
2016-05-06,68.73
2016-05-07,71.10000000000001
2016-05-08,64.78
2016-05-09,78.21000000000001
2016-05-10,75.05
2016-05-11,71.10000000000001
2016-05-12,71.10000000000001
2016-05-13,73.47
2016-05-14,74.26
2016-05-15,69.52000000000001
2016-05-16,75.05
2016-05-17,75.05
2016-05-18,71.10000000000001
2016-05-19,76.63000000000001
2016-05-20,70.31
2016-05-21,74.26
2016-05-22,71.89
2016-05-23,74.26
2016-05-24,79.0
2016-05-25,75.84
