,Open,High,Low,Close,Volume,VOX_unscaled,VOX_monthly,isPartial,scale,VOX,VOX stock_unscaled,VOX stock_monthly,isPartial,scale,VOX stock,VOX price_unscaled,VOX price_monthly,isPartial,scale,VOX price,VOX vanguard_unscaled,VOX vanguard_monthly,isPartial,scale,VOX vanguard,Dow Jones_unscaled,Dow Jones_monthly,isPartial,scale,Dow Jones,Trump_unscaled,Trump_monthly,isPartial,scale,Trump
7/1/14,87.79000092,88.66999817,87.76999664,88.36000061,103100,85,40,FALSE,0.4,34,0,24,FALSE,0.24,0,51,57,FALSE,0.57,29.07,0,43,FALSE,0.43,0,67,12,FALSE,0.12,8.04,54,1,FALSE,0.01,0.54
7/2/14,88.41999817,88.55000305,88.31999969,88.37999725,28100,90,40,,0.4,36,100,24,,0.24,24,0,57,,0.57,0,0,43,,0.43,0,69,12,,0.12,8.28,59,1,,0.01,0.59
7/3/14,88.65000153,88.84999847,88.41000366,88.84999847,29900,82,40,,0.4,32.8,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,87,12,,0.12,10.44,71,1,,0.01,0.71
7/7/14,88.76999664,88.83999634,88.45999908,88.48999786,44200,69,40,,0.4,27.6,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,62,12,,0.12,7.44,64,1,,0.01,0.64
7/8/14,88.44999695,88.44999695,87.59999847,87.77999878,35700,69,40,,0.4,27.6,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,68,12,,0.12,8.16,68,1,,0.01,0.68
7/9/14,88.12999725,88.31999969,87.83000183,88.18000031,37700,74,40,,0.4,29.6,0,24,,0.24,0,52,57,,0.57,29.64,0,43,,0.43,0,63,12,,0.12,7.56,58,1,,0.01,0.58
7/10/14,87.38999939,88.43000031,87.38999939,88.26000214,131600,81,40,,0.4,32.4,0,24,,0.24,0,53,57,,0.57,30.21,82,43,,0.43,35.26,70,12,,0.12,8.4,57,1,,0.01,0.57
7/11/14,88.25,88.76000214,88.16999817,88.73999786,19100,74,40,,0.4,29.6,0,24,,0.24,0,54,57,,0.57,30.78,0,43,,0.43,0,69,12,,0.12,8.28,56,1,,0.01,0.56
7/14/14,89.05999756,89.44999695,88.87000275,89.15000153,49600,80,40,,0.4,32,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,62,12,,0.12,7.44,100,1,,0.01,1
7/15/14,89.15000153,89.15000153,88.59999847,88.95999908,24700,67,40,,0.4,26.8,98,24,,0.24,23.52,0,57,,0.57,0,0,43,,0.43,0,64,12,,0.12,7.68,80,1,,0.01,0.8
7/16/14,89.19000244,89.47000122,89.12999725,89.25,29600,97,40,,0.4,38.8,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,70,12,,0.12,8.4,64,1,,0.01,0.64
7/17/14,89.08000183,89.19999695,88.13999939,88.37999725,28300,92,40,,0.4,36.8,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,72,12,,0.12,8.64,60,1,,0.01,0.6
7/18/14,88.54000092,89.11000061,88.54000092,88.98000336,24200,81,40,,0.4,32.4,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,79,12,,0.12,9.48,64,1,,0.01,0.64
7/21/14,88.94999695,88.94999695,88.27999878,88.30999756,31000,99,40,,0.4,39.6,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,58,12,,0.12,6.96,56,1,,0.01,0.56
7/22/14,88.69999695,88.88999939,88.58999634,88.76000214,26100,100,40,,0.4,40,0,24,,0.24,0,51,57,,0.57,29.07,0,43,,0.43,0,62,12,,0.12,7.44,65,1,,0.01,0.65
7/23/14,88.91000366,88.91000366,88.51999664,88.75,36200,82,40,,0.4,32.8,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,69,12,,0.12,8.28,69,1,,0.01,0.69
7/24/14,88.61000061,89.26000214,88.34999847,88.81999969,35800,95,40,,0.4,38,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,61,12,,0.12,7.32,69,1,,0.01,0.69
7/25/14,88.66999817,89.08000183,88.5,88.55999756,31100,99,40,,0.4,39.6,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,63,12,,0.12,7.56,67,1,,0.01,0.67
7/28/14,88.52999878,88.80999756,88.36000061,88.77999878,24600,84,40,,0.4,33.6,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,60,12,,0.12,7.2,64,1,,0.01,0.64
7/29/14,92.93000031,93.43000031,90.75,90.95999908,47500,90,40,,0.4,36,97,24,,0.24,23.28,0,57,,0.57,0,0,43,,0.43,0,68,12,,0.12,8.16,64,1,,0.01,0.64
7/30/14,91.13999939,91.19999695,90.23999786,90.76999664,31400,76,40,,0.4,30.4,0,24,,0.24,0,0,57,,0.57,0,0,43,,0.43,0,66,12,,0.12,7.92,62,1,,0.01,0.62
7/31/14,90.13999939,90.13999939,88.66000366,89,56400,90,40,,0.4,36,99,24,,0.24,23.76,52,57,,0.57,29.64,0,43,,0.43,0,100,12,,0.12,12,72,1,,0.01,0.72
8/1/14,89.23999786,89.23999786,88.19000244,88.44000244,59400,74,44,FALSE,0.44,32.56,0,24,FALSE,0.24,0,0,51,FALSE,0.51,0,0,28,FALSE,0.28,0,100,12,FALSE,0.12,12,65,1,FALSE,0.01,0.65
8/4/14,88.55000305,88.86000061,87.90000153,88.43000031,65600,79,44,,0.44,34.76,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,64,12,,0.12,7.68,100,1,,0.01,1
8/5/14,88.23000336,88.75,87.94000244,88.51000214,31900,79,44,,0.44,34.76,0,24,,0.24,0,49,51,,0.51,24.99,0,28,,0.28,0,69,12,,0.12,8.28,82,1,,0.01,0.82
8/6/14,87.80999756,87.80999756,86.37000275,86.87000275,50500,84,44,,0.44,36.96,76,24,,0.24,18.24,0,51,,0.51,0,0,28,,0.28,0,67,12,,0.12,8.04,73,1,,0.01,0.73
8/7/14,87.44000244,87.44000244,85.84999847,86.13999939,73800,79,44,,0.44,34.76,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,58,12,,0.12,6.96,80,1,,0.01,0.8
8/8/14,86.36000061,86.43000031,85.73999786,86.41999817,33700,91,44,,0.44,40.04,0,24,,0.24,0,53,51,,0.51,27.03,0,28,,0.28,0,67,12,,0.12,8.04,73,1,,0.01,0.73
8/11/14,86.76999664,87.01999664,86.5,86.52999878,47200,82,44,,0.44,36.08,0,24,,0.24,0,49,51,,0.51,24.99,0,28,,0.28,0,53,12,,0.12,6.36,55,1,,0.01,0.55
8/12/14,86.5,86.76000214,86.30999756,86.73000336,53100,73,44,,0.44,32.12,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,51,12,,0.12,6.12,67,1,,0.01,0.67
8/13/14,86.83000183,86.98999786,86.58999634,86.90000153,47100,67,44,,0.44,29.48,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,56,12,,0.12,6.72,63,1,,0.01,0.63
8/14/14,86.91000366,87.12000275,86.72000122,87.04000092,19800,98,44,,0.44,43.12,0,24,,0.24,0,100,51,,0.51,51,0,28,,0.28,0,53,12,,0.12,6.36,77,1,,0.01,0.77
8/15/14,87.19000244,87.41999817,86.37999725,86.80000305,31300,77,44,,0.44,33.88,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,50,12,,0.12,6,80,1,,0.01,0.8
8/18/14,87.41000366,87.41000366,86.88999939,87.08999634,38400,90,44,,0.44,39.6,0,24,,0.24,0,50,51,,0.51,25.5,0,28,,0.28,0,52,12,,0.12,6.24,67,1,,0.01,0.67
8/19/14,87.41999817,87.41999817,86.62999725,86.75,25700,100,44,,0.44,44,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,59,12,,0.12,7.08,62,1,,0.01,0.62
8/20/14,86.73000336,86.87999725,86.5,86.80999756,30600,77,44,,0.44,33.88,0,24,,0.24,0,49,51,,0.51,24.99,0,28,,0.28,0,55,12,,0.12,6.6,58,1,,0.01,0.58
8/21/14,86.83999634,87.09999847,86.75,86.98000336,27300,75,44,,0.44,33,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,61,12,,0.12,7.32,65,1,,0.01,0.65
8/22/14,86.90000153,86.98999786,86.51999664,86.94999695,28400,70,44,,0.44,30.8,0,24,,0.24,0,50,51,,0.51,25.5,0,28,,0.28,0,61,12,,0.12,7.32,59,1,,0.01,0.59
8/25/14,87.20999908,87.58000183,87.16999817,87.33999634,29200,75,44,,0.44,33,0,24,,0.24,0,48,51,,0.51,24.48,0,28,,0.28,0,52,12,,0.12,6.24,53,1,,0.01,0.53
8/26/14,87.34999847,87.62999725,87.34999847,87.62000275,36700,77,44,,0.44,33.88,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,60,12,,0.12,7.2,57,1,,0.01,0.57
8/27/14,87.66999817,88.15000153,87.62999725,88.08999634,29700,91,44,,0.44,40.04,0,24,,0.24,0,0,51,,0.51,0,0,28,,0.28,0,60,12,,0.12,7.2,54,1,,0.01,0.54
8/28/14,87.98000336,88.05000305,87.66000366,87.94999695,26400,80,44,,0.44,35.2,0,24,,0.24,0,95,51,,0.51,48.45,0,28,,0.28,0,53,12,,0.12,6.36,56,1,,0.01,0.56
8/29/14,88.05999756,88.43000031,87.76999664,88.41999817,39900,87,44,,0.44,38.28,0,24,,0.24,0,50,51,,0.51,25.5,0,28,,0.28,0,51,12,,0.12,6.12,58,1,,0.01,0.58
9/2/14,88.40000153,88.63999939,87.81999969,88.37999725,57400,86,41,,0.41,35.26,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,66,11,,0.11,7.26,62,1,,0.01,0.62
9/3/14,88.52999878,88.55999756,88.16000366,88.30999756,43600,74,41,,0.41,30.34,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,70,11,,0.11,7.7,64,1,,0.01,0.64
9/4/14,88.44999695,88.45999908,88.08999634,88.27999878,25200,97,41,,0.41,39.77,0,9,,0.09,0,68,38,,0.38,25.84,0,27,,0.27,0,73,11,,0.11,8.03,73,1,,0.01,0.73
9/5/14,88.02999878,88.90000153,88.02999878,88.83000183,58300,100,41,,0.41,41,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,75,11,,0.11,8.25,72,1,,0.01,0.72
9/8/14,88.76999664,88.76999664,88.37000275,88.66000366,31000,93,41,,0.41,38.13,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,68,11,,0.11,7.48,75,1,,0.01,0.75
9/9/14,88.58999634,88.58999634,87.48000336,87.66000366,36700,99,41,,0.41,40.59,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,69,11,,0.11,7.59,100,1,,0.01,1
9/10/14,87.70999908,87.81999969,86.90000153,87.59999847,45900,92,41,,0.41,37.72,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,74,11,,0.11,8.14,87,1,,0.01,0.87
9/11/14,87.40000153,88.30000305,87.29000092,88.29000092,29000,81,41,,0.41,33.21,0,9,,0.09,0,100,38,,0.38,38,0,27,,0.27,0,75,11,,0.11,8.25,88,1,,0.01,0.88
9/12/14,88.29000092,88.44999695,87.58000183,88.18000031,30300,83,41,,0.41,34.03,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,74,11,,0.11,8.14,78,1,,0.01,0.78
9/15/14,88.34999847,88.34999847,87.31999969,87.34999847,52400,76,41,,0.41,31.16,0,9,,0.09,0,66,38,,0.38,25.08,0,27,,0.27,0,64,11,,0.11,7.04,73,1,,0.01,0.73
9/16/14,87.25,87.86000061,87.25,87.80000305,44000,81,41,,0.41,33.21,0,9,,0.09,0,66,38,,0.38,25.08,0,27,,0.27,0,74,11,,0.11,8.14,87,1,,0.01,0.87
9/17/14,87.90000153,88.44999695,87.73000336,87.98999786,58800,91,41,,0.41,37.31,0,9,,0.09,0,67,38,,0.38,25.46,0,27,,0.27,0,79,11,,0.11,8.69,82,1,,0.01,0.82
9/18/14,88.22000122,88.73000336,88.22000122,88.66000366,29800,74,41,,0.41,30.34,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,80,11,,0.11,8.8,74,1,,0.01,0.74
9/19/14,89.02999878,89.19999695,88.38999939,88.95999908,43300,96,41,,0.41,39.36,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,76,11,,0.11,8.36,76,1,,0.01,0.76
9/22/14,88.94999695,88.94999695,88.12000275,88.37999725,49400,88,41,,0.41,36.08,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,74,11,,0.11,8.14,60,1,,0.01,0.6
9/23/14,88.23999786,88.34999847,87.61000061,87.61000061,39500,83,41,,0.41,34.03,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,81,11,,0.11,8.91,61,1,,0.01,0.61
